web-scraper-order,web-scraper-start-url,img_url-src,type,prix,adresse
"1751152430-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://images.coinafrique.com/thumb_894226_uploaded_image1_1567186853.35.png","Chaussures Baskets","15 000CFA","Sénégal"
"1751152430-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://images.coinafrique.com/thumb_894185_uploaded_image1_1567186147.73.png","Chaussures enfants","8 000CFA","Sénégal"
"1751152430-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://images.coinafrique.com/thumb_892623_uploaded_image1_1567161532.45.png","Chaussures","Prix sur demande","Dakar, Sénégal"
"1751152430-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://images.coinafrique.com/thumb_892617_uploaded_image1_1567161496.62.png","Chaussures enfant","Prix sur demande","Dakar, Sénégal"
"1751152430-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://images.coinafrique.com/thumb_892611_uploaded_image1_1567161455.24.png","Chaussures enfant","Prix sur demande","Dakar, Sénégal"
"1751152430-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://images.coinafrique.com/thumb_892593_uploaded_image1_1567161453.51.png","Chaussures enfant","Prix sur demande","Dakar, Sénégal"
"1751152430-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://images.coinafrique.com/thumb_884530_uploaded_image1_1566983419.29.png","Chaussures pour enfant","13 000CFA","Sénégal"
"1751152430-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://images.coinafrique.com/thumb_878809_uploaded_image1_1566841399.24.png","Chaussures enfant","7 500CFA","Cambérène, Dakar, Sénégal"
"1751152430-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://images.coinafrique.com/thumb_878800_uploaded_image1_1566841283.51.png","Chaussures enfant","7 500CFA","Sénégal"
"1751152430-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://images.coinafrique.com/thumb_861833_uploaded_image1_1566391948.31.png","Ensemble talon","15 000CFA","Cambérène, Dakar, Sénégal"
"1751152430-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://images.coinafrique.com/thumb_854221_uploaded_image1_1566227990.03.png","Chaussures enfant","6 000CFA","Les Parcelles Assainies, Dakar, Sénégal"
"1751152430-12","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://images.coinafrique.com/thumb_848875_uploaded_image1_1566050610.48.png","Chaussures enfant","8 500CFA","Cambérène, Dakar, Sénégal"
"1751152430-13","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://images.coinafrique.com/thumb_838292_uploaded_image1_1565733704.96.png","Mocassins Enfant","Prix sur demande","Les Parcelles Assainies, Dakar, Sénégal"
