web-scraper-order,web-scraper-start-url,img_url-src,type,prix,adresse
"1751150749-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2689239_uploaded_image1_1602508255.jpg","Baskets Air Jordan 4","Prix sur demande","Sénégal"
"1751150749-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2689235_uploaded_image1_1602508177.jpg","Baskets All star Dior","Prix sur demande","Sénégal"
"1751150749-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2689229_uploaded_image1_1602508082.jpg","Baskets Nike Dunk","Prix sur demande","Sénégal"
"1751150749-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2688868_uploaded_image1_1602500574.jpg","Chaussures Homme","50 000CFA","Colobane, Dakar, Sénégal"
"1751150749-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2687672_uploaded_image1_1602442554.jpg","Chaussures All star","30 000CFA","Dakar, Sénégal"
"1751150749-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2687592_uploaded_image1_1602439415.jpg","Chaussures Hommes - Femmes","4 000CFA","Grand Yoff, Dakar, Sénégal"
"1751150749-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2686639_uploaded_image1_1602411027.jpg","Chaussures homme - femme","8 000CFA","Dakar, Sénégal"
"1751150749-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2686300_uploaded_image1_1602381272.jpg","Chaussures Homme","8 000CFA","Patte d'oie, Dakar, Sénégal"
"1751150749-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2686200_uploaded_image1_1602374198.jpg","Chaussures Homme","2 500CFA","Dieuppeul-Derklé, Dakar, Sénégal"
"1751150749-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2685941_uploaded_image1_1602361579.jpg","Baskets Nike Air Max 270","10 000CFA","Parcelle Assainies, Dakar, Sénégal"
"1751150749-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2684132_uploaded_image1_1602280742.jpg","Chaussures homme","20 000CFA","Almadies, Dakar, Sénégal"
"1751150749-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2681736_uploaded_image1_1602197969.jpg","Mocassins homme","30 000CFA","Dakar, Sénégal"
"1751150749-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2681704_uploaded_image1_1602197202.jpg","Chaussures hommes","15 000CFA","Grand Yoff, Dakar, Sénégal"
"1751150749-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2681077_uploaded_image1_1602177175.jpg","Baskets Nike Air Max 720","10 000CFA","Sicap Liberté, Dakar, Sénégal"
"1751150749-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2680908_uploaded_image1_1602172279.jpg","Chaussures homme","8 000CFA","Grand Yoff, Dakar, Sénégal"
"1751150749-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2680590_uploaded_image1_1602166288.jpg","Chaussures Homme","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1751150749-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2680557_uploaded_image1_1602165879.jpg","Nu-pieds Adidas","5 000CFA","Grand Dakar, Dakar, Sénégal"
"1751150749-18","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2678660_uploaded_image1_1602093246.jpg","Baskets  Homme","18 000CFA","Sicap Liberté, Dakar, Sénégal"
"1751150749-19","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2678391_uploaded_image1_1602086045.jpg","Chaussures homme","15 000CFA","Dakar, Sénégal"
"1751150749-20","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2678023_uploaded_image3_1602075949.jpeg","Chaussures homme","Prix sur demande","Fass, Dakar, Sénégal"
"1751150749-21","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2678017_uploaded_image1_1602075840.jpg","Chaussures homme","Prix sur demande","Fass, Dakar, Sénégal"
"1751150749-22","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2678014_uploaded_image2_1602075743.jpeg","Chaussures homme","Prix sur demande","Fass, Dakar, Sénégal"
"1751150749-23","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2677817_uploaded_image1_1602071299.jpg","Chaussures homme","15 000CFA","Dakar, Sénégal"
"1751150749-24","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2676747_uploaded_image1_1602021760.jpg","Chaussures homme","15 000CFA","Dakar, Sénégal"
"1751150749-25","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2674985_uploaded_image2_1601970287.jpeg","Chaussures homme","15 000CFA","Guediawaye, Dakar, Sénégal"
"1751150749-26","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2674367_uploaded_image1_1601929846.jpg","Chaussures hommes - femmes","13 000CFA","Grand Yoff, Dakar, Sénégal"
"1751150749-27","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2670671_uploaded_image1_1601772738.jpg","Chaussures Homme","2 500CFA","Dieuppeul-Derklé, Dakar, Sénégal"
"1751150749-28","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2667885_uploaded_image1_1601675002.jpg","Wallabees clark’s","15 000CFA","Dakar, Sénégal"
"1751150749-29","https://sn.coinafrique.com/categorie/chaussures-homme?page=100","https://images.coinafrique.com/thumb_2667262_uploaded_image1_1601657858.jpg","Baskets Nike","15 000CFA","Dakar, Sénégal"
