web-scraper-order,web-scraper-start-url,img_url-src,type,prix,adresse
"1751152076-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://images.coinafrique.com/thumb_724057_uploaded_image1_1562587700.41.png","Tenue Enfant","10 000CFA","Dakar, Sénégal"
"1751152076-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://images.coinafrique.com/thumb_724054_uploaded_image1_1562587650.41.png","Tenue enfant","10 000CFA","Dakar, Sénégal"
"1751152076-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://images.coinafrique.com/thumb_724052_uploaded_image1_1562587604.4.png","Tenue pour enfant","10 000CFA","Dakar, Sénégal"
"1751152076-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://images.coinafrique.com/thumb_724047_uploaded_image1_1562587553.26.png","Tenue enfant","10 000CFA","Dakar, Sénégal"
"1751152076-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://images.coinafrique.com/thumb_724043_uploaded_image1_1562587503.48.png","Ensemble pour enfant","10 000CFA","Dakar, Sénégal"
"1751152076-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://images.coinafrique.com/thumb_724000_uploaded_image1_1562587045.77.png","Ensemble costume enfant","25 000CFA","Dakar, Sénégal"
"1751152076-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","https://images.coinafrique.com/thumb_723992_uploaded_image1_1562586931.16.png","Ensemble costume enfant","25 000CFA","Dakar, Sénégal"
"1751152082-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_799190_uploaded_image1_1564585120.62.png","Robes pour enfant","Prix sur demande","Petit-Mbao, Dakar, Sénégal"
"1751152082-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_794850_uploaded_image1_1564483781.69.png","Vêtements enfant","Prix sur demande","Médina, Dakar, Sénégal"
"1751152082-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_789093_uploaded_image1_1564310873.21.png","Costume Enfant","Prix sur demande","Médina, Dakar, Sénégal"
"1751152082-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_780901_uploaded_image1_1564061950.08.png","Tenue enfant","18 000CFA","Dakar, Sénégal"
"1751152082-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_780854_uploaded_image1_1564061441.75.png","Ensemble pour enfant","Prix sur demande","Dakar, Sénégal"
"1751152082-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777756_uploaded_image1_1563987300.49.png","Ensemble Biberon 5 Pièces de Garçons en Bleu - à partir de ...","1 900CFA","Sicap Liberté, Dakar, Sénégal"
"1751152082-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777530_uploaded_image1_1563983540.87.png","Vêtements enfant","Prix sur demande","Dakar, Sénégal"
"1751152082-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777518_uploaded_image1_1563983306.57.png","Robe enfant","Prix sur demande","Dakar, Sénégal"
"1751152082-16","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777499_uploaded_image1_1563983051.01.png","Robe enfant","Prix sur demande","Dakar, Sénégal"
"1751152082-17","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777479_uploaded_image1_1563982898.84.png","Robe fillette","Prix sur demande","Dakar, Sénégal"
"1751152082-18","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777474_uploaded_image1_1563982835.05.png","Robe fillette","Prix sur demande","Dakar, Sénégal"
"1751152082-19","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777469_uploaded_image1_1563982780.11.png","Vêtements enfant","Prix sur demande","Dakar, Sénégal"
"1751152082-20","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777455_uploaded_image1_1563982643.5.png","Robe enfant","Prix sur demande","Dakar, Sénégal"
"1751152082-21","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777414_uploaded_image1_1563982287.77.png","Robe enfant","Prix sur demande","Dakar, Sénégal"
"1751152082-22","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777403_uploaded_image1_1563982192.33.png","Vêtements pour enfant","Prix sur demande","Dakar, Sénégal"
"1751152082-23","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777221_uploaded_image1_1563980200.54.png","Robe","Prix sur demande","Dakar, Sénégal"
"1751152082-24","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777193_uploaded_image1_1563979627.11.png","Robe petite fille","Prix sur demande","Dakar, Sénégal"
"1751152082-25","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777133_uploaded_image1_1563978827.04.png","Robe","Prix sur demande","Dakar, Sénégal"
"1751152082-26","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777129_uploaded_image1_1563978782.04.png","Robe","Prix sur demande","Dakar, Sénégal"
"1751152082-27","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777120_uploaded_image1_1563978720.19.png","Robe enfant","Prix sur demande","Dakar, Sénégal"
"1751152082-28","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777117_uploaded_image1_1563978670.23.png","Robe","Prix sur demande","Dakar, Sénégal"
"1751152082-29","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777111_uploaded_image1_1563978617.41.png","Robe","Prix sur demande","Dakar, Sénégal"
"1751152082-30","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777045_uploaded_image1_1563977929.01.png","Robe enfant","Prix sur demande","Dakar, Sénégal"
"1751152082-31","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","https://images.coinafrique.com/thumb_777036_uploaded_image1_1563977800.29.png","Robe enfant","Prix sur demande","Dakar, Sénégal"
