web-scraper-order,web-scraper-start-url,img_url-src,type,prix,adresse
"1751149550-1","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2476020_uploaded_image1_1595543533.jpg","T-shirts homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-2","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2476018_uploaded_image1_1595543486.jpg","Tee-shirts","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-3","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2476016_uploaded_image1_1595543439.jpg","T-shirts","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-4","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2476012_uploaded_image1_1595543354.jpg","Pantalon homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-5","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2476008_uploaded_image1_1595543279.jpg","Pantalon homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-6","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2476005_uploaded_image1_1595543206.jpg","Pantalon homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-7","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2475885_uploaded_image1_1595540454.jpg","Chemises turques","8 000CFA","Dakar, Sénégal"
"1751149550-8","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2475767_uploaded_image1_1595538090.jpg","Ensemble Tee-shirt - bonnet","5 000CFA","Thies, Sénégal"
"1751149550-9","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2475412_uploaded_image1_1595529633.jpg","T-shirts  pour couple","6 000CFA","Dakar, Sénégal"
"1751149550-10","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2475399_uploaded_image1_1595529412.jpg","T-shirt homme","5 000CFA","Dakar, Sénégal"
"1751149550-11","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2473960_uploaded_image1_1595507061.jpg","Vêtements homme","12 000CFA","Dakar, Sénégal"
"1751149550-12","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2473936_uploaded_image1_1595506844.jpg","Vêtements homme","8 000CFA","Dakar, Sénégal"
"1751149550-13","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2473662_uploaded_image1_1595503266.jpg","Vêtements homme","12 000CFA","Biscuiterie, Dakar, Sénégal"
"1751149550-14","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2471849_uploaded_image1_1595457263.jpg","Boubou","12 000CFA","Biscuiterie, Dakar, Sénégal"
"1751149550-15","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2471283_uploaded_image1_1595445762.jpg","Pantalon Kaki","6 500CFA","Dakar, Sénégal"
"1751149550-16","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2471278_uploaded_image1_1595445684.jpg","Pantalons Kaki","6 500CFA","Dakar, Sénégal"
"1751149550-17","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2471154_uploaded_image1_1595443635.jpg","Ensemble vêtements homme","8 500CFA","Dakar, Sénégal"
"1751149550-18","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2471142_uploaded_image2_1595443462.jpeg","Tee-shirt + casquette","9 000CFA","Dakar, Sénégal"
"1751149550-19","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2470435_uploaded_image1_1595431124.jpg","Habits homme","9 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1751149550-20","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2470205_uploaded_image1_1595428347.jpg","Ensemble homme","14 000CFA","Guediawaye, Dakar, Sénégal"
"1751149550-21","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2469956_uploaded_image1_1595424584.jpg","Vêtements homme","12 000CFA","Yoff, Dakar, Sénégal"
"1751149550-22","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2469710_uploaded_image1_1595422044.jpg","Pantalon homme","7 000CFA","Guediawaye, Dakar, Sénégal"
"1751149550-23","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2468173_uploaded_image1_1595383064.jpg","Caleçon   / lot de  3","7 500CFA","Dakar, Sénégal"
"1751149550-24","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2466603_uploaded_image1_1595350512.jpg","Shorts homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-25","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2466596_uploaded_image1_1595350403.jpg","Shorts homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-26","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2466585_uploaded_image1_1595350288.jpg","Shorts Adidas homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-27","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2466579_uploaded_image1_1595350231.jpg","Culotte homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-28","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2466576_uploaded_image1_1595350171.jpg","Shorts homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-29","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2466571_uploaded_image1_1595350089.jpg","Vêtements homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-30","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2466569_uploaded_image1_1595350026.jpg","Vêtements homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-31","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2466564_uploaded_image1_1595349964.jpg","T-shirt","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1751149550-32","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2466187_uploaded_image1_1595345318.jpg","Ensemble vêtements homme","12 500CFA","Biscuiterie, Dakar, Sénégal"
"1751149550-33","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2466137_uploaded_image1_1595344540.jpg","Lacoste polo Ralph Lauren","8 000CFA","Biscuiterie, Dakar, Sénégal"
"1751149550-34","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2463323_uploaded_image1_1595278667.jpg","Polo Lacoste","7 000CFA","Parcelle Assainies, Dakar, Sénégal"
"1751149550-35","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2463257_uploaded_image1_1595277121.jpg","Pantalons Kaki","6 500CFA","Dakar, Sénégal"
"1751149550-36","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2463253_uploaded_image1_1595277037.jpg","Pantalon kaki","6 500CFA","Dakar, Sénégal"
"1751149550-37","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2463252_uploaded_image1_1595276996.jpg","Pantalon kaki","6 500CFA","Dakar, Sénégal"
"1751149550-38","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2463251_uploaded_image1_1595276951.jpg","Pantalon Kaki","6 500CFA","Dakar, Sénégal"
"1751149550-39","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2462708_uploaded_image1_1595267955.jpg","T-shirts uniques","1 750CFA","Grand Yoff, Dakar, Sénégal"
"1751149550-40","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2462467_uploaded_image1_1595264064.jpg","Lacoste homme","2 500CFA","Guediawaye, Dakar, Sénégal"
"1751149550-41","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2462228_uploaded_image1_1595260903.jpg","Ensemble vêtements homme","9 000CFA","Dakar, Sénégal"
"1751149550-42","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2461627_uploaded_image1_1595251573.jpg","Polo Lacoste homme","5 000CFA","Dakar, Sénégal"
"1751149550-43","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2461311_uploaded_image1_1595247090.jpg","Ensemble homme","13 000CFA","Dakar, Sénégal"
"1751149550-44","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2461261_uploaded_image1_1595246502.jpg","Polo Lacoste","8 000CFA","HLM, Dakar, Sénégal"
"1751149550-45","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2460979_uploaded_image1_1595243128.jpg","Pantalon Zara","9 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1751149550-46","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2459759_uploaded_image1_1595208562.jpg","Habits de friperie","500CFA","Keur Massar, Sénégal"
"1751149550-47","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2459698_uploaded_image1_1595206275.jpg","Polo homme","5 000CFA","Parcelle Assainies, Dakar, Sénégal"
"1751149550-48","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2459326_uploaded_image1_1595197802.jpg","Tuniques homme","25 000CFA","Dakar, Sénégal"
"1751149550-49","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2459323_uploaded_image1_1595197762.jpg","Manche veste","25 000CFA","Dakar, Sénégal"
"1751149550-50","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2459303_uploaded_image1_1595197253.jpg","Vêtements homme","36 000CFA","Yoff, Dakar, Sénégal"
"1751149550-51","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2459189_uploaded_image1_1595194627.jpg","Ensemble maillot","15 000CFA","Dakar, Sénégal"
"1751149550-52","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2458934_uploaded_image1_1595189179.jpg","Pack de 5 t-shirt","8 500CFA","Pikine, Sénégal"
"1751149550-53","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2458879_uploaded_image1_1595187828.jpg","Jeans hommes","9 000CFA","Dakar, Sénégal"
"1751149550-54","https://sn.coinafrique.com/categorie/vetements-homme?page=100","https://images.coinafrique.com/thumb_2458335_uploaded_image1_1595175960.jpg","Ensemble vêtements","8 000CFA","Guediawaye, Dakar, Sénégal"
