image_lien,prix,type_habits,adresse
https://images.coinafrique.com/thumb_5361125_uploaded_image1_1749079937.jpg,8 000CFA,Polo en coton,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5364547_uploaded_image1_1749327860.jpg,7 000CFA,Pantalon homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5396595_uploaded_image1_1751139172.jpg,5 000CFA,T-shirts,"Grand Yoff, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5387074_uploaded_image1_1750620178.jpg,7 000CFA,Polo,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5387071_uploaded_image1_1750620076.jpg,6 000CFA,Short en jeans,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5360742_uploaded_image1_1749062707.jpg,6 000CFA,T-shirts,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5360732_uploaded_image1_1749062350.jpg,6 000CFA,T-shirts,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5360719_uploaded_image1_1749061877.jpg,10 000CFA,Ensemble short,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5374565_uploaded_image1_1749920402.jpg,8 000CFA,Tshirt coton,"Colobane, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5374534_uploaded_image1_1749919474.jpg,8 000CFA,Shorts coton,"Colobane, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5374538_uploaded_image1_1749919612.jpg,10 000CFA,Sorts cotton djiene,"Colobane, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5374540_uploaded_image1_1749919718.jpg,10 000CFA,Sorts coton djiene,"Colobane, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5386899_uploaded_image1_1750612630.jpg,7 000CFA,Jeans homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5386893_uploaded_image1_1750612508.jpg,3 500CFA,Short,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5396366_uploaded_image1_1751130805.jpg,10 000CFA,Bas Nike Tech,"Mariste, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5368256_uploaded_image1_1749572783.jpg,3 000CFA,T-shirt,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5374429_uploaded_image1_1749913872.jpg,15 000CFA,Djialabé,"Colobane, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5374410_uploaded_image1_1749913289.jpg,Prix sur demande,Bonet,"Colobane, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5374420_uploaded_image1_1749913604.jpg,15 000CFA,Djialab Homme,"Colobane, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5374415_uploaded_image1_1749913505.jpg,10 000CFA,Djialab  Homme,"Colobane, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5377282_uploaded_image1_1750088802.jpg,9 000CFA,Dialabeh homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5360049_uploaded_image1_1749038004.jpg,7 000CFA,Jeans homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5359855_uploaded_image1_1749031695.jpg,9 000CFA,Ensemble short,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5381842_uploaded_image1_1750327249.jpg,3 000CFA,T-shirt unique,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5395713_uploaded_image1_1751083803.jpg,6 000CFA,Short,"Ouest Foire, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5395712_uploaded_image1_1751083649.jpg,6 000CFA,Short  homme,"Ouest Foire, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5376211_uploaded_image1_1750033082.jpg,6 000CFA,T-shirt coton,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5376209_uploaded_image1_1750033001.jpg,6 000CFA,Lacoste homme,"Dakar, Sénégal"
